sofifa_id,short_name
251703,J. Borgueray
251702,P. Vaquizo
251701,V. Sabanter
251700,S. Mandíquez
251699,M. Guerreyro
251698,K. Berlaso
251696,J. Monsario
251695,J. Veria
251694,E. Sancero
251693,A. Alfárnez
251692,A. Aguilmera
251691,A. Zamorado
251690,J. Rudoni
251689,N. Lang
251688,F. Greilinger
251687,S. Matoug
251684,J. Tunnicliffe
251683,Ballarin
251682,Jô Santos
251681,Maracás
251679,R. Balbuena
251677,Bernardo Martins
251675,Douglas Augusto
251673,Z. Zivkovic
251672,K. Al Khathlan
251671,D. Klann
251669,Rui Pires
251668,D. Lia
251666,F. Miesenböck
251665,M. Badu
251664,E. Cuevas
251662,A. Casar
251661,C. Sabanci
251660,A. Al Safri
251659,A. Al Hejaili
251658,N. Havenaar
251655,R. Ivey
251654,Sanz
251653,Irazábal
251652,A. Mujanic
251650,P. Cortizo
251646,J. Papeau
251644,Odei
251643,Admonio
251642,Manu Sánchez
251639,E. Carratala Jimenez
251638,R. Tincu
251636,D. Haruț
251635,A. Țigănașu
251634,E. Florescu
251633,M. Skóraś
251632,N. Tarnat
251630,E. Gallardo
251629,J. Lonwijk
251628,A. Ugur
251627,L. Sopić
251626,M. van Ewijk
251625,U. Eneme-Ella
251622,D. Tokpa
251620,J. Bumbu
251619,F. Sjöberg
251617,A. Gigovic
251616,David Carmo
251611,G. Fernández
251609,N. Allievi
251608,L. Borri
251607,B. Ilie
251604,V. Tasar
251603,K. Piscopo
251602,R. Geeraerts
251600,Leandro Vilela
251599,Riki
251598,J. Mouaddib
251597,D. Steczyk
251596,A. Sagna
251595,N. Dyhr
251594,P. Therkildsen
251591,Vitor Caetano
251589,H. McEvoy
251586,Yeljan Shinar
251585,J. Mary
251584,C. Häusl
251582,A. Szőke
251580,Seo Jin Su
251577,Ju Jong Dae
251576,Danny Esteves
251575,A. Sayyadmanesh
251574,M. Saglam
251573,Renan Lodi
251572,C. Boli
251571,D. Dugourd
251566,Gabriel Martinelli
251565,D. Huiberts
251563,J. Wright
251559,R. Duncan
251558,L. Daneels
251557,D. van der Sluys
251556,G. Alexander
251555,J. Eccles
251552,N. Kainourgios
251551,A. Niangbo
251550,A. Fitzpatrick
251548,P. Osew
251547,D. Schnegg
251545,D. Churlinov
251543,E. Asomani
251541,M. Andersson
251540,Patrick
251537,G. Magnée
251534,Eduardo Kau
251533,Marcelinho
251531,D. Kerkez
251530,Nuno Tavares
251528,Z. Sanusi
251526,W. Tanaka
251525,H. Teruyama
251524,A. Konaté
251523,A. Marinescu
251520,I. Brînză
251519,J. Hugonet
251518,J. Mangonzo
251517,J. Gvardiol
251516,O. Ashley
251515,R. Collins
251514,A. Procter
251513,D. Graur
251511,M. Zeghba
251510,S. Hazzam
251509,C. Mina
251508,J. Gómez
251507,Y. Carabali
251506,M. Al Najai
251504,Sori Mané
251503,Mateus Pasinato
251501,H. Saghiri
251500,P. Koronkiewicz
251499,T. Sabitzer
251498,J. Rojas
251497,O. Diakité
251494,B. Bida
251493,A. Mohamed
251488,M. Akpınar
251487,N. Anđušić
251486,Nené
251485,M. Puschl
251482,C. Kinsombi
251481,M. Voduț
251480,P. Bachmeier
251476,L. Green-Birch
251475,J. Vogel
251474,O. Chatziterzoglou
251473,R. Campbell-Gordon
251472,G. Leibold
251471,M. Guthörl
251469,Pedro Amaral
251468,T. Mißner
251467,C. Euschen
251465,A. Lyska
251463,M. De Agostini
251452,V. Stojanovski
251451,F. Jäkel
251450,Henrique Gomes
251449,Brian Araújo
251448,Kellyton
251447,Leo Cordeiro
251446,E. Mihaj
251445,Samuel Dias
251444,A. Budimbu
251443,L. Mickels
251442,M. Depta
251441,Y. Ben Balla
251440,L. Scepanik
251437,F. Durmishaj
251435,D. Carlson
251433,B. Voll
251431,M. Malone
251430,J. Dhillon
251429,F. Kunze
251428,J. Kotei
251417,E. Hottmann
251416,R. Slevin
251413,A. Schmidt
251412,S. Weissman
251411,K. Struski
251408,S. Nurković
251405,K. Ehlers
251404,Javi Fernández
251403,B. Sinzig
251402,J. Kraus
251401,T. Coulibaly
251400,L. Kwadwo
251399,L. Kambole
251398,H. Cakmak
251396,S. Günther
251392,T. Krauß
251391,C. Leonhard
251390,E. Arslan
251389,Vidorreta
251387,L. Díaz
251386,C. Bombo
251385,S. Mambo
251384,J. Julio
251382,Y. Merah
251381,P. Keny
251380,L. Brassier
251378,T. Hölscher
251377,R. Zalazar
251376,M. Gottschling
251375,D. De Vita
251373,K. Klefisch
251372,C. Carter
251371,N. Jaby
251370,S. Najar
251369,O. Djoco
251366,W. Muzyk
251365,P. Królczyk
251364,T. Huk
251363,E. Azemović
251361,U. Đuranović
251360,M. Spychała
251359,P. Krawczyk
251358,F. Bainović
251357,P. Raitanen
251356,N. Vallys
251355,M. Shaker
251354,A. Meziane
251353,K. Laba
251352,J. Shaffelburg
251348,P. Cucchi
251346,J. Martin
251343,Z. Šarlija
251342,B. Pichler
251341,M. Aké
251340,A. Dia
251337,Alex Suárez
251336,Maudo Jarjué
251335,W. Coulibaly
251334,I. Schubert-Abubakari
251333,N. Galle
251332,R. Bouallak
251330,V. Müller
251327,Getúlio
251326,Alex Bermejo
251325,M. Meyerhöfer
251324,M. Gottwald
251323,E. Voufack
251322,N. Jahn
251320,M. Rohr
251319,F. Niemann
251318,M. Ito
251317,A. Lungwitz
251316,N. Kupusović
251315,P. Wiese
251313,S. Lahssaini
251311,K. Lolos
251310,M. Peck
251309,B. Soumaré
251308,T. Purrington
251306,A. Randell
251305,K. Ibrahim
251303,J. Passaglia
251302,M. Opfermann Arcones
251301,J. Albrecht
251300,K. Hachadi
251297,M. Mohammadi
251295,J. Rumpf
251294,Guga Rodrigues
251293,L. Dehl
251292,F. Kastenmeier
251290,M. Fernandes
251289,T. Keller
251288,J. Medić
251286,F. Rüdlin
251285,N. Thiede
251282,B. Lashley
251281,S. Köhler
251280,K. Santini
251279,B. Thompson
251278,K. Antonik
251277,R. Sirk
251276,N. Alexandersson
251272,F. Tavares
251269,E. Jääskeläinen
251268,C. Rozas
251265,N. Shaw
251261,H. Saunders
251260,B. Kramer
251258,V. Ozornwafor
251257,C. Whitely
251256,L. Buzan
251250,L. Parisi
251248,M. Sánchez
251246,E. Romero
251243,M. Klimowicz
251242,M. Barraza
251241,A. Grandi
251240,M. Balda
251239,J. Lamy
251238,A. Carlone
251237,S. Perović
251236,A. Cordea
251235,A. Dumiter
251234,Márcio Meira
251233,Rafael Gava
251232,Jorge Silva
251230,J. Gölles
251229,K. Yeboah
251228,D. Kovačec
251226,Y. Ibrahim
251225,C. Fara
251224,P. Besong
251222,A. Guechi
251221,L. Kalvach
251220,S. Neurauter
251219,D. Burns
251218,S. Beccari
251217,Jean Lucas
251216,L. Katnik
251215,F. Toplitsch
251214,M. Pato
251213,C. Vega
251212,J. Bay
251211,H. Vera
251207,D. Crnomarković
251199,M. Fofana
251198,E. Simms
251196,F. Makaringe
251195,B. Sam
251194,T. Tlolane
251193,T. Mabasa
251192,B. Ndilu
251191,J. Allevinah
251190,C. Pepe
251185,A. M'hamdi
251184,K. Barnawi
251183,E. Cérica
251182,Iago
251181,D. Lischka
251179,P. Grauschopf
251178,T. Grivosti
251176,S. Silvera
251175,G. Ajayi
251173,J. Mullin
251171,A. Roscrow
251170,L. Sinayoko
251169,O. Camara
251168,N. Mujakić
251167,S. Raux Yao
251159,Lee Kyu Hyuk
251157,Lee Gwang Yeon
251154,F. Pons
251152,M. Miers
251151,S. Kavrazlı
251148,R. Zamponi
251147,A. Gündüz
251146,P. Nsiah
251145,L. Laborda
251142,L. Marsella
251140,J. Apolinarski
251139,J. Soraire
251138,F. Pereyra
251134,F. Üzüm
251133,L. Stojsavljević
251132,E. Piovi
251129,G. Harlev
251128,N. Geertsen
251127,F. Torrent
251126,M. Gagliardo
251125,J. Rodríguez
251124,F. Nevarez
251122,M. Fernández
251121,Lucas Xavier
251118,Elsinho
251116,T. Holeš
251111,Feng Boyuan
251110,Wang Haijian
251108,M. Ekpiteta
251107,A. Lebeau
251106,I. Botella
251105,D. Joveljić
251102,M. Trąbka
251100,M. Komar
251096,S. Hager
251095,J. van Stappershoef
251094,H. Barišić
251093,J. Longridge
251091,H. Al Eissa
251090,E. Holten
251089,M. Domański
251088,K. Kościelny
251087,D. Bartl
251086,F. Achim
251085,A. Buziuc
251082,B. Barbu
251079,M. Szczepański
251078,P. Pațurcă
251077,V. Olariu
251076,A. Șut
251075,E. Peña Zauner
251073,C. Dumitru
251072,O. Horșia
251071,R. Ion
